from_stop,to_stop,time,passenger_count,fare
Hitech City,Mehdipatnam,2025-12-27 15:37:01,34,67
LB Nagar,Mahabubnagar,2026-01-18 22:29:01,26,58
Dilsukhnagar,Adilabad,2026-01-14 07:24:01,29,50
Khammam,JBS Secunderabad,2026-02-06 00:44:01,35,73
Gachibowli,Hyderabad MGBS,2025-12-25 22:26:01,36,51
Uppal,Hyderabad MGBS,2026-01-16 15:36:01,34,67
Mahabubnagar,Nizamabad,2026-01-10 16:29:01,26,72
Kukatpally,LB Nagar,2026-02-02 02:37:01,27,68
Kukatpally,JBS Secunderabad,2025-12-29 22:36:01,32,60
Hitech City,Hyderabad MGBS,2025-12-25 16:13:01,38,50
Dilsukhnagar,Ameerpet,2026-01-06 14:45:01,28,71
Gachibowli,Adilabad,2026-02-11 12:21:01,25,66
LB Nagar,Medak,2026-01-07 13:00:01,27,50
Mahabubnagar,Nalgonda,2026-01-14 08:29:01,38,52
Khammam,LB Nagar,2026-01-16 13:25:01,37,69
Adilabad,Warangal,2026-01-05 15:32:01,36,50
Khammam,Mahabubnagar,2026-01-05 13:24:01,33,65
Dilsukhnagar,Mehdipatnam,2026-02-09 07:26:01,25,54
Karimnagar,Nizamabad,2026-02-04 12:55:01,29,72
Warangal,Nalgonda,2025-12-26 23:21:01,34,59
Warangal,Ameerpet,2026-01-02 07:49:01,25,58
Hyderabad MGBS,JBS Secunderabad,2026-01-26 01:34:01,28,67
Medak,Gachibowli,2026-02-03 06:17:01,24,61
Khammam,LB Nagar,2026-02-07 19:46:01,38,61
Siddipet,Suryapet,2026-01-28 07:14:01,34,64
Nalgonda,Mehdipatnam,2026-02-07 08:52:01,27,60
Dilsukhnagar,Ameerpet,2025-12-26 01:13:01,28,71
Siddipet,JBS Secunderabad,2025-12-25 22:55:01,31,71
Siddipet,Hitech City,2026-01-23 20:08:01,33,66
Hyderabad MGBS,Ameerpet,2026-01-05 01:55:01,36,62
Kukatpally,JBS Secunderabad,2026-01-11 06:18:01,32,63
Warangal,JBS Secunderabad,2026-01-11 02:23:01,34,57
Suryapet,Mahabubnagar,2026-01-17 08:50:01,33,68
Khammam,Medak,2026-01-06 09:05:01,29,50
Karimnagar,Warangal,2026-01-30 00:01:01,29,68
Mehdipatnam,Nalgonda,2025-12-28 03:50:01,37,73
Mahabubnagar,Hitech City,2026-01-13 01:33:01,31,71
Warangal,Hyderabad MGBS,2026-01-05 11:10:01,38,53
Adilabad,Siddipet,2026-02-06 17:55:01,35,65
Khammam,Mahabubnagar,2026-01-29 10:02:01,31,66
Mehdipatnam,Dilsukhnagar,2026-01-17 00:04:01,24,57
JBS Secunderabad,Adilabad,2026-02-06 02:12:01,24,59
Hyderabad MGBS,Gachibowli,2026-01-06 19:27:01,33,69
Nalgonda,Hyderabad MGBS,2026-01-20 06:37:01,31,50
Kukatpally,Nalgonda,2026-01-19 16:20:01,28,51
Hyderabad MGBS,Gachibowli,2026-01-21 07:51:01,38,73
Kukatpally,LB Nagar,2026-01-05 03:58:01,31,50
Kukatpally,Dilsukhnagar,2026-02-09 16:47:01,31,68
Dilsukhnagar,Ameerpet,2025-12-29 16:12:01,27,51
Ameerpet,Warangal,2025-12-27 18:38:01,28,55
Suryapet,Mehdipatnam,2026-02-10 17:00:01,36,70
Mahabubnagar,Medak,2026-01-20 22:12:01,37,67
Ameerpet,Nizamabad,2026-01-26 16:16:01,38,73
Ameerpet,Siddipet,2026-01-21 21:16:01,28,56
Adilabad,LB Nagar,2026-01-12 17:15:01,24,64
Adilabad,Suryapet,2026-02-05 12:34:01,30,70
Medak,Khammam,2025-12-27 11:42:01,25,61
Adilabad,Ameerpet,2026-01-27 10:08:01,29,70
Mehdipatnam,Suryapet,2026-01-08 08:40:01,29,73
Nalgonda,JBS Secunderabad,2026-01-18 16:42:01,32,60
Hitech City,Warangal,2026-01-06 03:27:01,33,61
Nizamabad,Medak,2026-01-17 16:32:01,33,55
Warangal,Suryapet,2026-01-06 13:13:01,35,74
Suryapet,Nalgonda,2026-01-01 18:33:01,30,54
Karimnagar,Hyderabad MGBS,2026-01-03 16:03:01,36,75
Kukatpally,Nizamabad,2025-12-27 02:34:01,30,52
Karimnagar,Khammam,2026-01-17 07:15:01,24,74
Nizamabad,Medak,2026-01-30 05:18:01,35,60
Gachibowli,Mahabubnagar,2026-02-03 14:08:01,27,64
Nalgonda,Gachibowli,2026-01-22 18:55:01,32,62
Suryapet,Nalgonda,2026-01-25 06:49:01,25,57
Karimnagar,Gachibowli,2026-01-01 02:09:01,37,51
