from_stop,to_stop,time,passenger_count,fare
JBS Secunderabad,Ameerpet,2026-01-02 08:32:01,20,32
LB Nagar,Medak,2026-01-22 10:29:01,17,48
Hitech City,Mehdipatnam,2026-01-13 12:22:01,23,38
Karimnagar,Suryapet,2026-02-04 13:59:01,16,32
Siddipet,Dilsukhnagar,2026-01-27 15:46:01,26,35
Hyderabad MGBS,Nizamabad,2026-01-12 04:47:01,14,31
Medak,Hitech City,2026-02-09 23:39:01,24,48
JBS Secunderabad,Siddipet,2025-12-28 07:32:01,14,35
Karimnagar,Adilabad,2026-01-15 21:29:01,14,41
Adilabad,Suryapet,2026-01-01 14:24:01,23,30
Uppal,Siddipet,2026-01-07 18:27:01,17,44
Nalgonda,Mahabubnagar,2026-01-04 00:29:01,21,38
Khammam,Ameerpet,2026-02-03 12:50:01,16,32
Siddipet,Kukatpally,2026-01-14 14:53:01,21,47
Suryapet,Karimnagar,2026-01-17 04:09:01,20,45
LB Nagar,Ameerpet,2026-01-13 19:33:01,16,37
Warangal,Adilabad,2026-02-04 03:24:01,26,44
Gachibowli,Kukatpally,2026-01-06 22:43:01,25,42
Ameerpet,Nizamabad,2026-01-31 04:59:01,15,46
Hitech City,Adilabad,2026-02-04 19:11:01,17,42
Khammam,Mahabubnagar,2025-12-30 16:30:01,22,46
Adilabad,Medak,2026-01-10 16:28:01,15,45
Ameerpet,Dilsukhnagar,2026-01-04 06:11:01,26,42
Kukatpally,Siddipet,2026-02-08 13:59:01,18,36
Warangal,Adilabad,2026-01-06 14:24:01,14,29
Nalgonda,Mehdipatnam,2026-01-18 19:41:01,24,45
Warangal,JBS Secunderabad,2025-12-28 18:12:01,19,42
Kukatpally,Uppal,2026-02-07 05:22:01,14,41
Nizamabad,Mahabubnagar,2026-01-07 20:13:01,24,34
Gachibowli,Hyderabad MGBS,2026-01-01 11:59:01,15,40
Mahabubnagar,Khammam,2026-01-30 01:42:01,17,37
LB Nagar,Warangal,2026-01-16 06:24:01,21,34
Mahabubnagar,Mehdipatnam,2025-12-31 22:13:01,16,28
Khammam,Nizamabad,2026-02-07 02:57:01,19,38
