from_stop,to_stop,time,passenger_count,fare
Suryapet,Warangal,2026-01-15 17:27:01,59,107
LB Nagar,Mehdipatnam,2026-01-16 12:45:01,59,119
LB Nagar,Karimnagar,2026-01-01 06:56:01,67,126
Medak,Hyderabad MGBS,2026-01-19 06:31:01,58,110
Nalgonda,Dilsukhnagar,2026-01-23 13:38:01,65,116
Gachibowli,Mehdipatnam,2026-01-15 05:49:01,52,115
Uppal,Medak,2026-01-23 09:17:01,53,134
Karimnagar,Kukatpally,2026-01-19 23:35:01,57,134
Hitech City,Medak,2026-01-12 21:46:01,55,107
Medak,Nizamabad,2026-01-03 07:52:01,61,143
Hitech City,Ameerpet,2026-01-26 17:43:01,69,137
Uppal,Adilabad,2025-12-25 11:00:01,66,127
Karimnagar,LB Nagar,2026-01-24 13:09:01,65,117
Ameerpet,Nalgonda,2026-01-04 20:06:01,52,129
Warangal,Adilabad,2026-01-22 21:36:01,60,122
LB Nagar,Gachibowli,2025-12-26 07:18:01,61,134
Medak,Warangal,2026-01-03 11:52:01,55,118
Karimnagar,Kukatpally,2026-01-23 06:10:01,66,145
Suryapet,Siddipet,2026-01-19 20:11:01,65,100
Dilsukhnagar,Khammam,2026-01-31 23:36:01,63,116
Ameerpet,Medak,2026-01-13 19:13:01,62,120
Hitech City,Mehdipatnam,2026-01-05 07:19:01,60,116
Mahabubnagar,Dilsukhnagar,2026-01-02 03:47:01,53,134
Uppal,Adilabad,2026-02-08 11:17:01,60,150
Adilabad,Kukatpally,2025-12-25 08:08:01,59,149
Warangal,Karimnagar,2025-12-26 04:19:01,59,100
Hyderabad MGBS,Adilabad,2026-01-18 07:24:01,53,111
Nalgonda,Hitech City,2026-01-17 10:53:01,51,109
Hitech City,JBS Secunderabad,2026-01-07 08:58:01,66,143
Hyderabad MGBS,Nalgonda,2026-02-02 16:32:01,59,130
Adilabad,Karimnagar,2026-02-09 02:45:01,48,110
LB Nagar,Suryapet,2026-01-25 02:03:01,52,113
Ameerpet,Uppal,2025-12-28 12:09:01,59,128
Gachibowli,Warangal,2026-01-16 01:43:01,59,112
LB Nagar,Karimnagar,2026-01-01 09:49:01,59,107
Hitech City,Mehdipatnam,2026-01-19 12:35:01,60,101
Ameerpet,Hitech City,2026-02-06 01:37:01,52,112
Hyderabad MGBS,Kukatpally,2026-01-24 11:08:01,61,147
Nizamabad,Siddipet,2026-01-31 01:45:01,57,106
Adilabad,Mahabubnagar,2026-01-05 19:30:01,54,127
Suryapet,Hyderabad MGBS,2026-01-04 02:21:01,68,110
Kukatpally,LB Nagar,2025-12-30 12:44:01,69,119
Khammam,Mehdipatnam,2026-01-29 12:40:01,48,112
Mehdipatnam,Suryapet,2025-12-27 12:20:01,53,115
Nalgonda,Dilsukhnagar,2026-01-31 14:18:01,69,116
Suryapet,Uppal,2025-12-31 19:28:01,54,114
Hyderabad MGBS,LB Nagar,2026-01-13 02:37:01,59,107
Siddipet,Hitech City,2026-01-08 05:35:01,62,103
LB Nagar,Adilabad,2026-02-07 15:05:01,48,130
Dilsukhnagar,Hitech City,2026-01-19 23:47:01,60,101
Dilsukhnagar,JBS Secunderabad,2026-01-21 06:02:01,69,138
Gachibowli,Warangal,2026-01-09 04:16:01,48,113
JBS Secunderabad,Suryapet,2026-01-21 10:04:01,49,145
Nalgonda,Dilsukhnagar,2026-02-10 07:22:01,48,127
Hyderabad MGBS,Hitech City,2026-01-30 12:11:01,57,136
Gachibowli,LB Nagar,2026-01-14 17:31:01,58,115
Kukatpally,Dilsukhnagar,2026-01-15 04:15:01,57,118
Khammam,Kukatpally,2026-01-09 17:36:01,70,118
Nalgonda,Kukatpally,2026-02-05 23:23:01,63,147
Hyderabad MGBS,LB Nagar,2025-12-28 00:19:01,69,130
Ameerpet,Warangal,2025-12-25 13:17:01,48,122
Mehdipatnam,Dilsukhnagar,2026-01-22 17:00:01,55,108
Ameerpet,Mahabubnagar,2026-01-28 11:23:01,62,100
LB Nagar,Dilsukhnagar,2026-01-16 18:56:01,61,145
Suryapet,Hitech City,2026-01-16 05:36:01,53,103
Khammam,Mehdipatnam,2026-01-01 04:32:01,59,112
Uppal,Hyderabad MGBS,2026-01-27 08:53:01,59,129
Kukatpally,Hitech City,2026-01-26 22:32:01,62,105
Karimnagar,Dilsukhnagar,2025-12-31 21:50:01,54,133
Siddipet,Adilabad,2025-12-28 04:48:01,66,127
Dilsukhnagar,Ameerpet,2026-02-05 20:42:01,54,148
Ameerpet,Adilabad,2025-12-29 18:58:01,58,121
Siddipet,Uppal,2026-02-08 02:30:01,69,123
Nizamabad,Ameerpet,2026-01-06 22:02:01,67,108
Karimnagar,Siddipet,2026-02-05 21:40:01,50,126
Kukatpally,Gachibowli,2025-12-25 12:58:01,57,114
JBS Secunderabad,Uppal,2026-01-15 14:01:01,69,131
Hitech City,Warangal,2026-01-30 08:20:01,53,148
Mahabubnagar,Dilsukhnagar,2026-02-10 06:31:01,70,132
Medak,Kukatpally,2026-02-02 11:13:01,67,147
Mehdipatnam,Warangal,2025-12-26 01:04:01,68,105
Nizamabad,Nalgonda,2026-01-06 05:44:01,65,108
Gachibowli,Nalgonda,2026-01-03 19:26:01,69,134
Siddipet,Medak,2026-02-06 18:14:01,54,112
Nizamabad,LB Nagar,2026-01-20 15:50:01,51,103
