from_stop,to_stop,time,passenger_count,fare
Dilsukhnagar,JBS Secunderabad,2026-01-13 17:29:01,34,98
Medak,Hyderabad MGBS,2026-01-22 20:47:01,46,100
Medak,Hyderabad MGBS,2025-12-26 22:28:01,34,105
Uppal,Karimnagar,2025-12-25 00:12:01,45,84
Nalgonda,Nizamabad,2026-01-08 16:15:01,36,93
Hyderabad MGBS,Siddipet,2026-01-31 22:40:01,48,81
Warangal,Nizamabad,2026-02-08 20:38:01,42,76
Suryapet,Mahabubnagar,2026-01-12 02:14:01,38,101
Nalgonda,Dilsukhnagar,2026-01-20 08:46:01,42,104
Khammam,Mehdipatnam,2026-01-04 13:38:01,50,81
Karimnagar,Warangal,2026-01-17 15:11:01,50,88
Hyderabad MGBS,Adilabad,2026-01-28 13:28:01,43,99
Siddipet,LB Nagar,2025-12-30 16:11:01,41,86
Uppal,Suryapet,2026-01-11 12:33:01,35,104
Ameerpet,Dilsukhnagar,2026-01-07 12:41:01,44,83
Dilsukhnagar,JBS Secunderabad,2026-01-14 18:25:01,49,76
Hyderabad MGBS,Karimnagar,2026-01-11 20:04:01,41,82
Suryapet,Mahabubnagar,2026-01-18 16:26:01,37,92
Dilsukhnagar,Uppal,2026-01-20 20:42:01,34,103
Hyderabad MGBS,Karimnagar,2026-01-31 19:40:01,37,84
Adilabad,JBS Secunderabad,2025-12-28 06:52:01,46,93
JBS Secunderabad,Hitech City,2025-12-28 01:45:01,41,97
Karimnagar,Suryapet,2026-01-17 08:38:01,43,75
Warangal,Nalgonda,2026-01-27 19:46:01,37,83
Mahabubnagar,Nizamabad,2026-01-29 14:42:01,38,81
Siddipet,Dilsukhnagar,2026-01-05 07:29:01,45,78
Dilsukhnagar,Siddipet,2026-01-02 21:55:01,48,96
Nalgonda,Nizamabad,2026-02-04 03:51:01,41,104
Kukatpally,Mahabubnagar,2026-01-29 23:48:01,38,85
Nalgonda,Kukatpally,2026-01-10 20:51:01,45,93
Kukatpally,Hitech City,2026-01-02 08:28:01,35,76
Karimnagar,Mehdipatnam,2025-12-28 09:55:01,43,101
Suryapet,Mahabubnagar,2025-12-26 17:00:01,50,79
Mahabubnagar,Nizamabad,2026-01-18 21:41:01,41,101
Dilsukhnagar,Medak,2025-12-25 06:16:01,38,79
Ameerpet,Nalgonda,2026-02-10 07:37:01,49,89
Dilsukhnagar,Kukatpally,2025-12-27 23:24:01,41,76
Nalgonda,Suryapet,2026-01-28 08:23:01,38,100
Siddipet,Nizamabad,2026-01-07 12:03:01,41,93
Gachibowli,Mehdipatnam,2025-12-28 11:34:01,45,91
Warangal,Gachibowli,2026-01-12 19:47:01,45,90
JBS Secunderabad,Suryapet,2025-12-28 18:53:01,40,93
Siddipet,LB Nagar,2026-01-18 04:05:01,39,86
Khammam,Medak,2026-01-05 09:54:01,35,98
Mehdipatnam,Gachibowli,2026-01-03 03:25:01,40,92
Dilsukhnagar,Uppal,2026-01-10 03:03:01,47,77
Medak,Ameerpet,2026-01-17 17:30:01,36,78
Uppal,Mahabubnagar,2026-02-06 19:33:01,44,93
LB Nagar,Medak,2026-01-11 19:30:01,47,93
Khammam,Mehdipatnam,2026-01-04 20:59:01,39,76
Gachibowli,Suryapet,2026-01-12 07:44:01,48,102
LB Nagar,Medak,2025-12-29 16:51:01,41,78
Warangal,JBS Secunderabad,2026-01-02 10:49:01,48,104
Siddipet,Suryapet,2026-01-04 02:37:01,42,87
LB Nagar,Khammam,2026-02-01 08:42:01,43,75
Ameerpet,Mahabubnagar,2026-02-10 07:06:01,35,92
Hitech City,Adilabad,2025-12-26 18:28:01,44,99
Suryapet,Medak,2026-02-09 22:20:01,46,104
Adilabad,Uppal,2026-02-08 02:57:01,49,91
Warangal,JBS Secunderabad,2026-02-05 00:15:01,46,84
Hyderabad MGBS,Dilsukhnagar,2026-01-29 00:54:01,40,99
Gachibowli,Nalgonda,2026-02-07 01:45:01,39,76
JBS Secunderabad,Medak,2026-01-27 08:49:01,43,85
Dilsukhnagar,Karimnagar,2026-01-24 16:39:01,46,96
Khammam,Nizamabad,2025-12-31 22:40:01,36,80
Hitech City,JBS Secunderabad,2026-01-02 06:33:01,49,95
Karimnagar,JBS Secunderabad,2026-01-25 03:09:01,39,96
Gachibowli,Warangal,2026-01-19 09:51:01,39,79
Hyderabad MGBS,Nalgonda,2026-02-11 12:32:01,42,79
JBS Secunderabad,Nalgonda,2025-12-31 15:50:01,43,92
Hyderabad MGBS,Kukatpally,2026-01-24 07:56:01,36,99
Siddipet,Mahabubnagar,2026-01-07 12:30:01,38,102
Warangal,Nalgonda,2026-02-08 00:06:01,45,76
Mahabubnagar,Nalgonda,2025-12-27 15:30:01,50,96
Suryapet,Mahabubnagar,2026-01-24 03:23:01,35,75
Siddipet,Dilsukhnagar,2026-01-09 11:10:01,47,77
Khammam,Gachibowli,2026-01-17 14:31:01,36,86
Dilsukhnagar,Hitech City,2026-02-04 19:19:01,47,78
Karimnagar,Mehdipatnam,2026-01-07 21:29:01,38,93
Suryapet,Siddipet,2026-01-06 07:53:01,41,93
Kukatpally,Uppal,2026-01-13 09:08:01,49,99
Hyderabad MGBS,JBS Secunderabad,2026-01-08 20:28:01,41,86
Suryapet,Ameerpet,2026-01-14 12:57:01,49,79
Warangal,Siddipet,2026-01-16 17:47:01,34,96
Khammam,Gachibowli,2026-02-04 23:35:01,45,103
Ameerpet,Suryapet,2026-02-07 20:43:01,39,92
LB Nagar,Suryapet,2025-12-26 05:40:01,39,80
Medak,Suryapet,2025-12-28 08:52:01,36,94
Ameerpet,Hyderabad MGBS,2026-02-03 02:55:01,40,79
Suryapet,Gachibowli,2026-01-19 22:02:01,41,85
Kukatpally,Mehdipatnam,2025-12-25 14:56:01,35,91
Medak,Dilsukhnagar,2026-01-25 14:53:01,40,90
Dilsukhnagar,Mehdipatnam,2026-01-01 08:28:01,47,93
Ameerpet,Hitech City,2026-01-14 19:41:01,41,88
Kukatpally,Mahabubnagar,2026-02-06 07:36:01,35,83
Dilsukhnagar,Mehdipatnam,2026-02-06 11:21:01,45,90
Khammam,Adilabad,2026-02-03 06:38:01,34,98
Uppal,Medak,2026-01-16 05:26:01,35,89
Medak,Hyderabad MGBS,2026-01-12 07:54:01,43,76
JBS Secunderabad,Ameerpet,2026-01-11 06:56:01,45,103
Mehdipatnam,Hyderabad MGBS,2026-01-27 07:55:01,46,104
Medak,LB Nagar,2026-01-29 22:05:01,43,99
Nizamabad,LB Nagar,2026-02-06 03:34:01,45,81
JBS Secunderabad,Kukatpally,2026-01-28 16:05:01,41,89
Hitech City,Uppal,2026-01-06 07:19:01,46,104
Mahabubnagar,Karimnagar,2025-12-28 08:21:01,45,105
Warangal,Adilabad,2025-12-31 06:01:01,45,103
Adilabad,Mehdipatnam,2026-02-08 21:42:01,43,86
Suryapet,Uppal,2026-02-09 17:55:01,37,78
Siddipet,JBS Secunderabad,2025-12-26 02:53:01,46,83
Gachibowli,Uppal,2025-12-25 17:32:01,34,101
Mahabubnagar,Karimnagar,2026-01-04 09:58:01,36,81
Siddipet,Khammam,2026-02-02 22:29:01,48,85
Khammam,Kukatpally,2026-02-03 09:11:01,48,80
Uppal,Nalgonda,2026-01-06 02:15:01,34,95
Hyderabad MGBS,Uppal,2026-01-13 02:12:01,42,77
Gachibowli,Adilabad,2026-02-08 18:19:01,41,101
Adilabad,Nalgonda,2025-12-25 04:29:01,37,89
Khammam,Gachibowli,2026-01-20 14:52:01,44,92
Warangal,Kukatpally,2026-01-22 07:25:01,47,99
Ameerpet,Kukatpally,2026-01-12 14:32:01,42,90
JBS Secunderabad,Siddipet,2026-01-14 19:48:01,34,99
Suryapet,Adilabad,2025-12-30 10:16:01,47,89
Gachibowli,Siddipet,2026-01-24 19:37:01,38,89
Mahabubnagar,Nalgonda,2026-01-05 23:51:01,41,82
LB Nagar,Adilabad,2026-01-17 10:49:01,37,84
Karimnagar,Gachibowli,2025-12-26 16:00:01,43,105
Mehdipatnam,Khammam,2026-01-23 10:55:01,39,91
Mahabubnagar,Siddipet,2026-01-01 17:20:01,47,105
Warangal,Nizamabad,2026-01-23 06:36:01,47,90
Medak,Kukatpally,2026-02-11 11:03:01,40,80
Mahabubnagar,Mehdipatnam,2026-01-10 19:38:01,40,91
Suryapet,Adilabad,2025-12-27 08:05:01,44,89
JBS Secunderabad,Dilsukhnagar,2026-01-03 10:39:01,40,97
Warangal,Suryapet,2026-01-09 02:42:01,44,82
Ameerpet,Khammam,2026-02-01 23:03:01,50,99
Kukatpally,Warangal,2026-01-24 03:49:01,49,101
Nizamabad,Dilsukhnagar,2026-01-28 10:08:01,41,102
Adilabad,Kukatpally,2026-02-02 06:06:01,35,83
Gachibowli,Mehdipatnam,2026-01-29 21:38:01,39,87
Hitech City,Hyderabad MGBS,2026-02-06 21:49:01,44,92
Gachibowli,Kukatpally,2026-02-06 00:42:01,39,99
Khammam,Ameerpet,2026-02-05 09:14:01,48,85
Siddipet,Karimnagar,2026-01-02 07:41:01,47,79
Siddipet,Gachibowli,2026-01-30 12:41:01,40,104
Medak,Hyderabad MGBS,2026-01-09 07:38:01,44,90
JBS Secunderabad,Suryapet,2026-01-27 10:52:01,34,101
JBS Secunderabad,Suryapet,2026-02-08 05:35:01,37,78
Ameerpet,Dilsukhnagar,2026-01-26 16:43:01,42,84
Karimnagar,Adilabad,2025-12-30 21:16:01,38,97
Khammam,Uppal,2025-12-26 08:08:01,37,88
LB Nagar,Nalgonda,2026-02-09 08:36:01,45,89
Nizamabad,Khammam,2026-01-14 18:28:01,48,77
Siddipet,Warangal,2026-01-19 21:00:01,34,90
Adilabad,Mehdipatnam,2026-01-28 15:10:01,46,96
Siddipet,Kukatpally,2026-01-13 13:23:01,43,98
Adilabad,Kukatpally,2026-01-20 19:31:01,42,81
Nalgonda,LB Nagar,2026-01-13 17:36:01,46,80
Uppal,Khammam,2026-01-11 02:22:01,42,81
Adilabad,Suryapet,2026-01-28 20:09:01,38,78
Mehdipatnam,Hitech City,2026-01-12 12:54:01,43,100
Nalgonda,Karimnagar,2026-02-08 02:33:01,34,80
Nalgonda,Uppal,2026-02-06 23:33:01,48,93
Medak,Gachibowli,2026-01-04 13:53:01,37,103
Hyderabad MGBS,Uppal,2026-01-04 05:31:01,46,80
Warangal,Uppal,2026-01-20 13:17:01,38,88
Adilabad,Hitech City,2026-01-16 10:26:01,47,83
Hitech City,Suryapet,2026-01-05 21:13:01,40,98
Hyderabad MGBS,Gachibowli,2026-01-12 02:18:01,37,94
Uppal,Khammam,2026-01-02 02:10:01,46,103
Ameerpet,Gachibowli,2026-01-09 11:03:01,35,95
Hyderabad MGBS,Siddipet,2026-02-10 13:55:01,44,77
Siddipet,Ameerpet,2026-02-05 02:32:01,48,105
Ameerpet,Dilsukhnagar,2026-01-10 09:01:01,36,79
Medak,Karimnagar,2026-01-23 09:04:01,41,88
Adilabad,Medak,2026-01-02 13:46:01,34,80
Hyderabad MGBS,Karimnagar,2026-02-05 19:16:01,42,101
Adilabad,Siddipet,2026-01-20 15:43:01,50,85
Dilsukhnagar,Hyderabad MGBS,2025-12-30 02:54:01,47,95
Hyderabad MGBS,Suryapet,2026-02-09 14:32:01,34,81
Ameerpet,Kukatpally,2026-02-02 19:23:01,48,78
Medak,Uppal,2025-12-31 21:18:01,46,86
Medak,LB Nagar,2026-01-27 23:29:01,47,102
Mehdipatnam,Warangal,2026-01-02 08:40:01,42,82
Nalgonda,Suryapet,2026-01-08 05:16:01,48,100
Dilsukhnagar,Karimnagar,2026-01-31 16:06:01,39,81
Warangal,Hyderabad MGBS,2026-01-22 20:05:01,49,104
LB Nagar,Siddipet,2026-02-03 07:13:01,41,83
Warangal,Nalgonda,2026-01-17 19:14:01,45,99
Kukatpally,Nizamabad,2026-02-02 07:29:01,37,90
JBS Secunderabad,Adilabad,2025-12-27 09:19:01,37,101
Karimnagar,Hitech City,2026-02-01 05:44:01,47,97
Kukatpally,LB Nagar,2026-01-02 04:37:01,41,97
Hyderabad MGBS,Mahabubnagar,2026-01-18 13:25:01,38,82
Nalgonda,Ameerpet,2025-12-28 04:28:01,46,93
