from_stop,to_stop,time,passenger_count,fare
Secunderabad,Koti,2024-02-01 08:00:00,45,25
KPHB,Ameerpet,2024-02-01 08:15:00,52,30
Dilsukhnagar,Charminar,2024-02-01 08:30:00,38,20
Uppal,Secunderabad,2024-02-01 08:45:00,41,35
LB Nagar,Dilsukhnagar,2024-02-01 09:00:00,35,25
Miyapur,Ameerpet,2024-02-01 09:15:00,48,28
Kukatpally,Punjagutta,2024-02-01 09:30:00,42,32
Gachibowli,Ameerpet,2024-02-01 09:45:00,55,35
Mehdipatnam,Koti,2024-02-01 10:00:00,33,22
Jubilee Hills,Punjagutta,2024-02-01 10:15:00,29,25
Secunderabad,Paradise,2024-02-01 10:30:00,37,18
Ameerpet,KPHB,2024-02-01 10:45:00,44,30
Charminar,Dilsukhnagar,2024-02-01 11:00:00,31,20
Koti,Secunderabad,2024-02-01 11:15:00,48,25
Punjagutta,Kukatpally,2024-02-01 11:30:00,39,32
Dilsukhnagar,LB Nagar,2024-02-01 11:45:00,36,25
Ameerpet,Gachibowli,2024-02-01 12:00:00,51,35
Paradise,Secunderabad,2024-02-01 12:15:00,34,18
Uppal,ECIL,2024-02-01 12:30:00,28,30
Madhapur,Ameerpet,2024-02-01 12:45:00,47,32
Secunderabad,Koti,2024-02-01 13:00:00,42,25
KPHB,Miyapur,2024-02-01 13:15:00,25,15
Dilsukhnagar,Malakpet,2024-02-01 13:30:00,33,18
Ameerpet,Mehdipatnam,2024-02-01 13:45:00,38,22
LB Nagar,Vanasthalipuram,2024-02-01 14:00:00,27,20
Gachibowli,Madhapur,2024-02-01 14:15:00,31,15
Punjagutta,Jubilee Hills,2024-02-01 14:30:00,24,25
ECIL,Uppal,2024-02-01 14:45:00,29,30
Koti,Mehdipatnam,2024-02-01 15:00:00,35,22
Miyapur,KPHB,2024-02-01 15:15:00,28,15
Secunderabad,Uppal,2024-02-01 17:00:00,62,35
Ameerpet,KPHB,2024-02-01 17:15:00,58,30
Gachibowli,Ameerpet,2024-02-01 17:30:00,67,35
Koti,Secunderabad,2024-02-01 17:45:00,54,25
Dilsukhnagar,Charminar,2024-02-01 18:00:00,49,20
Punjagutta,Kukatpally,2024-02-01 18:15:00,51,32
Mehdipatnam,Koti,2024-02-01 18:30:00,44,22
Paradise,Secunderabad,2024-02-01 18:45:00,41,18
ECIL,Uppal,2024-02-01 19:00:00,38,30
Madhapur,Gachibowli,2024-02-01 19:15:00,35,15
Secunderabad,Koti,2024-02-01 07:00:00,51,25
KPHB,Ameerpet,2024-02-01 07:15:00,48,30
Uppal,Secunderabad,2024-02-01 07:30:00,45,35
Gachibowli,Ameerpet,2024-02-01 07:45:00,58,35
Dilsukhnagar,LB Nagar,2024-02-01 08:00:00,39,25
Ameerpet,Miyapur,2024-02-01 08:15:00,46,28
Koti,Charminar,2024-02-01 08:30:00,34,18
Punjagutta,Ameerpet,2024-02-01 08:45:00,42,20
Mehdipatnam,Gachibowli,2024-02-01 09:00:00,37,30
Jubilee Hills,Banjara Hills,2024-02-01 09:15:00,26,22
Secunderabad,Paradise,2024-02-01 19:30:00,33,18
Ameerpet,KPHB,2024-02-01 19:45:00,41,30
Koti,Secunderabad,2024-02-01 20:00:00,38,25
Dilsukhnagar,Malakpet,2024-02-01 20:15:00,29,18
Gachibowli,Madhapur,2024-02-01 20:30:00,32,15
ECIL,Secunderabad,2024-02-01 20:45:00,36,40
LB Nagar,Dilsukhnagar,2024-02-01 21:00:00,28,25
Miyapur,KPHB,2024-02-01 21:15:00,24,15
Charminar,Koti,2024-02-01 21:30:00,31,18
Ameerpet,Punjagutta,2024-02-01 21:45:00,27,20
Secunderabad,Koti,2024-02-02 08:00:00,47,25
KPHB,Ameerpet,2024-02-02 08:15:00,49,30
Dilsukhnagar,Charminar,2024-02-02 08:30:00,41,20
Uppal,Secunderabad,2024-02-02 08:45:00,44,35
LB Nagar,Dilsukhnagar,2024-02-02 09:00:00,38,25
Miyapur,Ameerpet,2024-02-02 09:15:00,51,28
Kukatpally,Punjagutta,2024-02-02 09:30:00,45,32
Gachibowli,Ameerpet,2024-02-02 09:45:00,59,35
Mehdipatnam,Koti,2024-02-02 10:00:00,36,22
Jubilee Hills,Punjagutta,2024-02-02 10:15:00,31,25
Paradise,Secunderabad,2024-02-02 10:30:00,35,18
Ameerpet,KPHB,2024-02-02 10:45:00,46,30
Charminar,Dilsukhnagar,2024-02-02 11:00:00,34,20
Koti,Secunderabad,2024-02-02 11:15:00,51,25
Punjagutta,Kukatpally,2024-02-02 11:30:00,42,32
Dilsukhnagar,LB Nagar,2024-02-02 11:45:00,39,25
Ameerpet,Gachibowli,2024-02-02 12:00:00,54,35
Secunderabad,ECIL,2024-02-02 12:15:00,47,40
Uppal,Paradise,2024-02-02 12:30:00,31,28
Madhapur,Ameerpet,2024-02-02 12:45:00,49,32
Secunderabad,Koti,2024-02-02 17:00:00,64,25
Ameerpet,KPHB,2024-02-02 17:15:00,61,30
Gachibowli,Ameerpet,2024-02-02 17:30:00,69,35
Koti,Secunderabad,2024-02-02 17:45:00,56,25
Dilsukhnagar,Charminar,2024-02-02 18:00:00,52,20
Punjagutta,Kukatpally,2024-02-02 18:15:00,54,32
Mehdipatnam,Koti,2024-02-02 18:30:00,47,22
Paradise,Secunderabad,2024-02-02 18:45:00,43,18
ECIL,Uppal,2024-02-02 19:00:00,41,30
Madhapur,Gachibowli,2024-02-02 19:15:00,38,15
Banjara Hills,Jubilee Hills,2024-02-02 08:00:00,22,20
Malakpet,Dilsukhnagar,2024-02-02 08:15:00,28,18
Vanasthalipuram,LB Nagar,2024-02-02 08:30:00,31,20
SR Nagar,Ameerpet,2024-02-02 08:45:00,35,15
Tarnaka,Secunderabad,2024-02-02 09:00:00,29,18
Kondapur,Madhapur,2024-02-02 09:15:00,33,20
Nizampet,KPHB,2024-02-02 09:30:00,27,22
Lingampally,Miyapur,2024-02-02 09:45:00,24,18
Begumpet,Punjagutta,2024-02-02 10:00:00,31,15
Nampally,Koti,2024-02-02 10:15:00,26,12
